Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
1,6,9,9,3,10,8,6,7,10,8,1,0,3,9,Apple,Retail,I do not consume soft drinks at all,Less Often,Never,Less Often,Less Often,Newspaper,Retail Stores,40-50,Male,Kolkata,Self Employed/business
2,2,8,5,8,1,0,10,9,7,10,5,7,0,10,One Plus,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in East,Student
3,5,10,5,7,10,6,10,4,10,10,5,0,0,5,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Delhi,Student
4,3,8,7,8,5,3,5,0,9,8,1,6,4,7,Samsung,Retail,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Online,24-28,Male,Kolkata,Student
5,9,10,8,5,9,7,0,4,10,10,8,6,7,3,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Never,Online,Online,18-23,Male,Other towns in North,Student
6,7,8,4,5,10,1,5,4,7,8,3,3,0,8,Xiaomi,Online,Orange,Never,Less Often,Never,Never,Online,Online,24-28,Male,Other towns in East,Student
7,2,7,5,8,10,4,10,2,7,9,9,4,10,8,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
8,4,9,9,6,4,3,9,10,5,5,5,7,4,9,Xiaomi,Retail,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Bangalore,Student
9,7,5,3,2,1,0,3,6,5,7,2,1,8,9,Samsung,Retail,Cola,Never,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
10,5,9,3,3,10,1,8,5,2,7,8,2,5,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
11,6,6,5,6,6,3,1,5,5,5,5,2,5,5,Others,Retail,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
12,8,7,8,4,10,6,3,7,2,5,2,1,8,4,One Plus,Online,Cola,Never,Never,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
13,8,8,7,2,8,8,2,2,8,7,8,3,2,0,Xiaomi,Online,I do not consume soft drinks at all,Never,Never,Never,Never,Newspaper,Online,24-28,Male,Mumbai,Student
14,3,5,4,5,1,9,7,8,8,10,3,8,5,2,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
15,2,4,9,7,5,1,10,8,6,10,0,7,10,10,One Plus,Online,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
16,9,8,7,6,8,3,8,8,8,9,2,7,3,6,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
17,4,8,8,5,2,4,0,0,6,8,8,0,4,5,Xiaomi,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,24-28,Male,Kolkata,Student
18,8,6,3,8,9,9,10,10,7,3,3,4,8,2,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
19,8,8,5,3,7,4,5,2,8,7,3,2,4,8,Others,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
20,4,3,6,4,4,0,8,3,7,8,3,2,2,5,Vivo,Retail,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
21,6,9,5,7,8,1,7,8,3,8,3,8,2,5,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
22,8,8,10,8,5,3,7,10,10,10,7,10,10,5,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
23,3,6,6,7,6,2,7,8,5,5,4,7,7,7,Vivo,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
24,7,8,5,4,9,2,7,5,7,9,3,6,6,7,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
25,3,9,7,8,7,3,7,7,8,8,6,6,6,9,Apple,Retail,Cola,Less Often,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
26,1,4,5,3,5,2,9,6,3,10,5,9,7,6,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
27,7,8,6,5,5,6,7,5,4,9,7,6,9,4,One Plus,Online,Fruit flavour,Less Often,Everyday,Everyday,Never,Online,Retail Stores,29-33,Male,Delhi,Student
28,9,7,9,6,8,7,4,3,5,6,2,2,9,4,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Delhi,Student
29,5,7,6,5,9,6,3,4,8,8,5,6,6,5,Xiaomi,Online,Cola,Never,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
30,4,6,8,5,1,1,8,6,1,9,5,0,1,8,Oppo,Retail,Cola,Everyday,Less Often,Less Often,Less Often,Online,Online,18-23,Female,Mumbai,Student
31,1,8,4,3,9,2,8,1,5,9,2,2,6,6,One Plus,Online,Cola,Less Often,Never,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
32,8,5,5,5,7,3,8,7,9,9,8,2,2,10,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Mumbai,Student
33,9,9,9,5,9,6,7,4,7,9,9,6,8,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Less Often,Never,Online,Online,24-28,Female,Other towns in West,Student
34,8,8,6,9,2,10,3,6,7,9,3,3,7,4,Xiaomi,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
35,7,8,9,10,10,7,8,7,5,9,4,5,9,5,One Plus,Online,Cola,Never,Never,Everyday,Less Often,Newspaper,Online,18-23,Male,Other towns in West,Student
36,1,10,6,10,10,6,10,6,10,5,4,5,10,1,Apple,Online,Fruit flavour,Everyday,Never,Everyday,Everyday,Online,Online,24-28,Male,Other towns in North,Student
37,7,10,1,8,5,7,4,8,7,8,3,5,8,2,Oppo,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
38,3,9,6,4,9,0,9,4,5,10,3,8,3,10,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Student
39,1,4,5,1,9,4,5,6,2,9,4,1,2,5,Others,Online,Orange,Never,Less Often,Everyday,Never,Online,Online,24-28,Male,Other towns in West,Student
40,8,2,8,8,5,0,8,6,10,10,3,7,10,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in West,Student
41,8,9,9,5,10,4,8,6,9,10,4,7,4,3,One Plus,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
42,4,2,4,5,5,4,2,6,8,3,6,3,2,8,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in South,Student
43,7,9,5,5,5,4,4,3,5,5,3,2,0,4,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
44,4,9,9,9,9,1,7,3,8,9,9,8,9,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Retail Stores,24-28,Male,Delhi,Student
45,7,9,8,5,5,2,6,6,4,8,2,3,1,10,Xiaomi,Online,Fruit flavour,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
46,8,6,8,9,7,7,6,6,6,6,6,6,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
47,8,10,8,8,8,6,3,0,5,8,8,3,5,7,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
48,7,9,6,5,3,7,2,7,10,10,3,3,6,3,One Plus,Online,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
49,3,8,6,1,1,5,8,7,7,5,8,6,3,8,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
50,3,7,7,6,8,10,8,1,7,9,8,8,7,0,Others,Online,Fruit flavour,Never,Never,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
51,1,9,7,2,5,0,10,1,10,10,5,10,9,3,One Plus,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Chennai,Student
52,4,8,8,7,10,5,10,9,0,7,5,7,9,0,Apple,Retail,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
53,7,8,6,5,4,0,1,4,3,5,1,1,3,9,One Plus,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
54,6,5,4,4,6,1,8,5,6,4,5,4,7,5,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
55,6,6,6,7,8,7,7,3,7,8,5,4,3,5,Apple,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
56,9,8,7,4,5,2,4,4,6,8,4,3,3,5,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Bangalore,Student
57,7,9,3,4,8,4,7,7,8,8,7,6,4,5,Apple,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
58,7,8,6,3,8,2,4,6,4,8,4,9,3,9,Xiaomi,Online,Orange,Never,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
59,10,5,10,5,0,0,6,5,10,5,5,0,7,4,Apple,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Self Employed/business
60,4,9,6,5,6,3,6,8,7,7,9,9,3,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
